Run,Timestamp,Slack Time (s),Time to First Token (s),Total Response Time (s),Avg. Inter-Token Time (s),Input Tokens,Output Tokens
1,2025-09-28T00:57:04.515757,0.0128,1.3870,1.3870,0.0000,40,1
2,2025-09-28T00:57:06.057014,0.0022,1.5386,1.5386,0.0000,39,1
3,2025-09-28T00:57:07.849060,0.0026,1.7890,1.7890,0.0000,34,1
4,2025-09-28T00:57:09.243130,0.0028,1.3909,1.3909,0.0000,41,1
5,2025-09-28T00:57:10.941416,0.0023,1.6954,1.6954,0.0000,43,1
6,2025-09-28T00:57:12.962842,0.0023,2.0187,2.0187,0.0000,43,1
7,2025-09-28T00:57:15.041032,0.0017,2.0761,2.0761,0.0000,41,1
8,2025-09-28T00:57:16.837835,0.0020,1.7944,1.7944,0.0000,37,1
9,2025-09-28T00:57:18.516032,0.0021,1.6757,1.6757,0.0000,43,1
10,2025-09-28T00:57:19.549247,0.0019,1.0309,1.0309,0.0000,34,1
